aardvark cerdo homiguero
aardvarks cerdo homigueros
ab abdominal
cordoba córdoba
cordon cordón
cords los pantalones de panas
corduroy pana
corduroys los pantalones de panas
core centro
corella corola
corellas corolas
corer despepitadora
corers despepitadoras
cores centros
corf maíz
corgi corgi
corgis corgi
coriander cilantro
corianders cilantros
corin maíz
coring centro
corinthians corintio la corintias
cork corcho
corks corchos
corkscrew sacacorchos
corkscrews sacacorchoses
cormus obra
cormuses obras
corn maíz
cornages ramilletes
cornbread pan de maíz
corncob mazorca de maíz
cornea córnea
corner esquina
corners esquinas
cornerstone piedra angular
cornet corneta
cornets cornetas
cornfield maizal
cornfields maizales
cornflour harina de maíz
cornflower aciano
cornflowers acianos
corni maíces
cornice cornisa
cornices cornisas
cornicles cornisas
corning maíz
cornmeal harina de maíz
corns maíces
cornstarch maicena
cornu maíz
cornua córnea
cornus obra
corolla corola
corollaries corolarios
corollary corolario
corollas corolas
coronae corona
coronation coronación
coronations coronaciones
coroner juez de instrucción
coroners juez de instrucciones
corporation corporación
corporations corporaciones
corps cuerpo
corpse cadáver
corpses cadáveres
corpus obra
corrade camarada
corrasion corrosión
correction corrección
correctioner corrección
correctioners correcciones
corrections correcciones
correctives rectificaciones
correctness exactitud
correlation correlación
correlations correlaciones
correption corrupción
correspondence correspondencia
correspondences correspondencias
correspondency correspondencia
correspondent corresponsal
correspondents corresponsales
corridor pasillo
corridors pasillos
corrie circo
corries alcances
corrosion corrosión
corrosions corrosiones
corruption corrupción
corruptions corrupciones
corsage ramillete
corsages ramilletes
corset corsé
corseting corsé
corsets corsés
corslet corsé
corslets corsés
cortex corteza
cortexes cortezas
cortices cortezas
cortisone cortisona
cortisones cortisonas
corvette corbeta
corvettes corbetas
corvus obra
corvuses obras
cory maíz
corydon cordón
cos lechuga romanas
coset costo
cosets costos
cosine coseno
cosines cosenos
cosmetic cosmético
cosmetics cosméticos
cosmetology cosmetología
cosmopolitan cosmopolita la cosmopolita
cosmopolitans cosmopolita la cosmopolitas
coss lechuga romana
cossack cosaco
cossacks cosacos
cosses cruces
cost costo
costard coprotagonista
costards  natillases
coster vendedor ambulante
costers vendedor ambulantes
costes costos
costner vendedor ambulante
costs costos
costume disfraz
costumer vestuarista
costumers vestuaristas
costumes disfraces
costumier vestuarista
costumiers vestuaristas
costus costo
cot catre
cotes catres
coth tela
coths telas
cots catres
cott abrigo
cottage casita de campo
cottages casita de campos
cottagey casita de campo
cottars coprotagonistas
cotton algodón
cottons algodónes
cottonwood álamo
cottony algodón
cotts costos
cottus coito
couch sofá
couchee sofá
coucher sofá
couches sofás
coude código
coue semen
cougar puma
cougars pumas
cough tos
cougher tos
coughers toses
coughings  toseses
coughs toses
council consejo
councillor concejal
councilman concejal
councilmen concejal
councilor concejal
councilors concejales
councils consejos
counsel consejo
counseling orientación
counsellings orientaciones
counsellor consejero
counsellors consejeros
counselor consejero
counselors consejeros
count conde
countdown cuenta atrás
countenancer semblante
countenancers semblantes
countenances semblantes
counterargument contraargumento
counterattack contraataque
counterculture contracultura
counterfeit falsificación
counterfeits falsificaciones
counterpart homólogo
counterparts homólogos
counterpoint contrapunto
counterpoints contrapuntos
counters mostradores
countess condesa
countesses condesas
counties condados
countries países
country país
countryman compatriota
countrymen compatriotas
countryside campo
countrywoman compatriota
countrywomen compatriotas
counts condes
countship noviazgo
countships noviazgos
county condado
coup golpe de estado
coupe cupé
coupee pareja
coupees cupés
couper cobre
coupers toneleros
coupes golpe de estados
couple pareja
couplement complemento
couplements complementos
couples parejas
couplet pareado
couplets pareados
coupling acoplamiento
couplings acoplamientos
coupon cupón
coupons cupónes
coups golpe de estados
coupure alta costura
cour tribunal
courage valor
courb tribunal
courbette calabacín
courbettes calabacínes
courgette calabacín
courgettes calabacínes
courier mensajero
couriers mensajeros
course curso
coursework  asignaturas
court tribunal
courtesies los cumplidos de rigores
courtesy cortesía
courthouse juzgado
courtings tribunales
courtroom sala
courtrooms salas
courts tribunales
courtship noviazgo
courtships noviazgos
courtyard patio
courtyards patios
couscous cuscús
couscouses cuscúses
cousin primo
cousinry primo
cousins primos
couter mostrador
couters mostradores
couth los buenos modales
couthy los buenos modales
couture alta costura
couvert converso la conversa
couverts converso la conversas
cove cala
coven aquelarre
covenant convenio
covenants convenios
covens aquelarres
covents conventos
cover tapa
coverage cobertura
coverall overol
coveralls overoles
coverings cubiertas
covers tapas
coversation conversación
coverts matorrales
coves calas
covetousness codicia
coving llegada
cow vaca
cowal carbón
cowals carbónes
coward cobarde
cowardice cobardía
cowards cobardes
cowbell cencerro
cowbells cencerros
cowboy vaquero
cowboys vaqueros
cowes vacas
cowfish bacalao
cowfishes bacalaos
cowgirl vaquera
cowgirls vaqueras
cowhand peón de campo
cowhands peón de campos
cowl capucha
cowlick mechón
cowlicks mechónes
cowls capuchas
coworker colega
coworkers colegas
cowp vaca
cowper cobre
cowps vacas
cows vacas
cox timonel
coxes timoneles
coxy copia
coze semen
cozier funda
crab cangrejo
crabs  ladillases
crack raja
crackdown campaña
crackdowns campañas
crackhead adicto al crack
crackheads adicto al cracks
crackles crepitaciones
cracklings los chicharroneses
cracks rajas
cradle cuna
cradles cunas
cradlings cunas
craft oficio
crafter cráter
craftmanship destreza
crafts artesanías
craftsman artesano
craftsmanship destreza
craftsmen artesanos
craftwork  artesanías
crag peñasco
crags peñascos
crake pastel
crakes pasteles
crampon crampón
crampons crampónes
cramps los dolores menstrualeses
cranberries arándanos
cranberry arándano
cranch crujido
cranches crujidos
cranching crujido
crane grúa
cranes grúas
crania cráneo
cranium cráneo
craniums cráneos
crankcase cárter
crankcases cárteres
cranker manivela
crankest manivela
crankle crepitación
crankles crepitaciones
cranks manivelas
crankshaft cigüeñal
crankshafts cigüeñales
crankum cráneo
crants artesanías
crap mierda
crapy loco la loca
crare cuidado
crares cuidados
crash choque
crasher choque
crashes choques
cratch parada
cratches muletas
crate caja
crater cráter
craters cráteres
crates cajas
craton cartón
cratons lápiz de colores
cratur cráter
craturs cráteres
craunch crujido
craunches crujidos
cravat pañuelo
cravats pañuelos
craving antojo
cravings antojos
craw buche
crawfish cangrejo de río
crawfishes cangrejo de ríos
crawl paso de tortuga
crawler tractor oruga
crawlers tractor orugas
crawley paso de tortuga
crawlier tractor oruga
crawlies paso de tortugas
crawlings paso de tortugas
craws buches
crax cangrejo
cray cangrejo de río
crayer cráter
crayers cráteres
crayfish cangrejo de río
crayfishes cangrejo de ríos
crayon lápiz de color
crayons lápiz de colores
crays cangrejo de ríos
craze moda
crazes modas
crazies loco la locas
craziness locura
creaks crujidos
cream crema
creamer jarrita para crema
creamers jarrita para cremas
creams cremas
crease raya
creaser raya
creasers rayas
creases rayas
creatin creación
creation creación
creations creaciones
creativity creatividad
creator creador
creators creadores
creature criatura
creatures criaturas
creche nacimiento
credence crédito
credences créditos
credibility credibilidad
credit crédito
crediton acreedor
creditor acreedor
creditors acreedores
credits los títulos de créditos
creed credo
creeds credos
creek arroyo
creeks arroyos
creep asqueroso la asquerosa
creeper enredadera
creepers enteritos
creeps asqueroso la asquerosas
creeses quesos
cremation incineración
cremations incineraciones
cremator creador
cremators creadores
creme crema
crenation creación
crenations creaciones
crenature criatura
crenatures criaturas
creole criollo
creoles criollos
crepes crepes
crescendo crescendo
crescendoes crescendos
crescendos crescendos
crescent medialuna
crescents medialunas
cress berro
cresses berros
cressy berro
crest cresta
crests crestas
cretics críticos
cretin cretino
cretins cretinos
creuse raya
crevasse grieta
crevasses grietas
crevice grieta
crevices grietas
crew tripulación
crews tripulaciones
crib cuna
cribber cuna
cribs cunas
cricket críquet
crickets críquets
crickey críquet
crickeys críquets
crier pregonero
criers pregoneros
crime crimen
crimes crimenes
criminalese criminal
criminality criminalidad
criminals criminales
criminates criminales
criminology criminología
crimples lisiados
crimps rizos
crimsons carmesís
crines crimenes
cripples lisiados
cripps papa fritas
crise crimen
crises crisises
crispins papa fritas
crisps papa fritas
crisscross entramado
criterion criterio
criterions criterios
critic crítico
criticism  críticas
criticisms  críticases
critics críticos
criticus crítico
critique crítica
critter bicho
critters bichos
crittur bicho
critturs bichos
croaker corvina
croakers corvinas
croakier corvina
croaks croares
croc cuervo
crochet ganchillo
crochetings ganchillos
crochets ganchillos
crock vasija de barro
crockery vajilla
crocket críquet
crockets críquets
crocks vasija de barros
